id,dirreccion,barrio,comuna,geometry
173,Las Heras General Av. 2600,Recoleta,Comuna 2,POINT (-58.39993614161081 -34.58514469638314)
174,"Justo, Juan B. Av. 4100",Caballito,Comuna 6,POINT (-58.459345516735844 -34.605229049875)
175,Pueyrredon Av. 1680,Recoleta,Comuna 2,POINT (-58.40128434890444 -34.59184650517354)
176,Paseo Colon Av. 1000,San Telmo,Comuna 1,POINT (-58.368440918518964 -34.6193088292788)
177,"Py, Comodoro Av. 2002",Retiro,Comuna 1,POINT (-58.36868622060478 -34.587817797157)
178,San Juan Av. 2021,San Cristobal,Comuna 3,POINT (-58.394471570898205 -34.622827372647464)
179,San Juan Av. 2021,San Cristobal,Comuna 3,POINT (-58.394471570898205 -34.622827372647464)
180,Caseros Av. 2137,Parque Patricios,Comuna 4,POINT (-58.39265130236065 -34.63463399926767)
181,Belgrano Av. 2179,Balvanera,Comuna 3,POINT (-58.397044230047825 -34.614096618536934)
182,Jujuy Av. 1100,San Cristobal,Comuna 3,POINT (-58.40240548235328 -34.622326849105995)
183,Rivadavia Av. 2250,Balvanera,Comuna 3,POINT (-58.3982198888709 -34.60968545387985)
184,Uspallata 2278,Parque Patricios,Comuna 4,POINT (-58.393029845007604 -34.6372223174749)
185,Pueyrredon Av. 2308,Recoleta,Comuna 2,POINT (-58.39613856499381 -34.58682293446575)
186,"Carrillo, Ramon, Dr. 235",Barracas,Comuna 4,POINT (-58.382477205528254 -34.634351080642546)
187,Constitucion y Lima,Constitucion,Comuna 1,POINT (-58.381432523043806 -34.62462507051386)
188,Monroe 1600,Belgrano,Comuna 13,POINT (-58.451995411338025 -34.5536491454279)
189,La Rioja 300,Balvanera,Comuna 3,POINT (-58.40857529377213 -34.61386376872032)
190,"Ruggieri, Silvio L. 2800",Palermo,Comuna 14,POINT (-58.40778961708851 -34.5817463130576)
191,Rivadavia Av. y Pergamino,Floresta,Comuna 10,POINT (-58.47460357657657 -34.63205654665024)
192,"Campos, Luis M. Av. 800",Palermo,Comuna 14,POINT (-58.43555743338644 -34.57054622478667)
193,Independencia Av. 2567,Balvanera,Comuna 3,POINT (-58.40177814392906 -34.61863035556411)
194,"Aranguren, Juan F., Dr. 2691",Flores,Comuna 7,POINT (-58.46942114266113 -34.6242930628253)
195,Warnes Av. 2636,Paternal,Comuna 15,POINT (-58.47594954637465 -34.59712245330702)
196,Warnes Av. 2715,Paternal,Comuna 15,POINT (-58.474584768021714 -34.59693181372806)
